Gap_ID,Process_Area,Current_State,Future_State,Gap_Description,Impact,Priority,Effort,Owner,Target_Date,Status,Dependencies
GAP-001,NAV Reconciliation,Manual download and Excel-based comparison of administrator NAV vs internal records taking 3 hours daily,Automated data ingestion and reconciliation engine with real-time break detection completing in 15 minutes,No automated reconciliation capability exists; entire process is manual and spreadsheet-based,High - risk of undetected NAV errors and delayed investor reporting,Critical,High,Fund Operations,2026-05-01,In Progress,Administrator file format agreement; Fund Accounting System API availability
GAP-002,NAV Reconciliation,Tolerance thresholds are informal and inconsistently applied across analysts,Configurable tolerance thresholds per fund and data element with dual-authorisation change control,No standardised or auditable tolerance framework; thresholds vary by analyst,Medium - inconsistent break identification across funds,High,Low,Fund Operations,2026-03-01,Not Started,NAV automation platform build
GAP-003,NAV Reconciliation,Break investigation tracked via email threads and ad-hoc notes,Structured workflow with assignment; root cause categorisation; escalation rules; and audit trail,No formal break management workflow; resolution history is difficult to retrieve,High - audit findings on control documentation,High,Medium,Fund Operations,2026-04-01,Not Started,NAV automation platform build
GAP-004,Compliance Monitoring,Investment limit checks performed manually in Excel on a weekly basis using position downloads,Real-time automated compliance engine monitoring UCITS 5/10/40 and concentration limits against live positions,Compliance checks are periodic rather than continuous; breaches may go undetected for days,High - regulatory risk if breaches are not detected and reported within required timeframes,Critical,High,Compliance,2026-06-01,Not Started,Position data feed from administrator and Fund Accounting System
GAP-005,Compliance Monitoring,Derivative exposure and counterparty limits checked monthly via manual spreadsheet,Automated daily calculation of derivative exposure and counterparty limits with breach alerting,Monthly frequency insufficient under UCITS requirements; manual calculations are error-prone,High - potential regulatory breach if limits exceeded between checks,High,Medium,Compliance,2026-06-01,Not Started,Derivative position data enrichment
GAP-006,Investor Reporting,Investor statements and factsheets produced manually using Word and Excel templates with copy-paste from multiple sources,Automated report generation pulling data from a central data warehouse with templated outputs,Manual report production takes 5 days per quarter and is prone to transcription errors,Medium - delayed investor communications and risk of data errors in published materials,High,High,Investor Services,2026-09-01,Not Started,Central data warehouse build
GAP-007,Investor Reporting,No centralised record of which investors received which reports and when,Automated distribution log with delivery confirmation and read tracking,Cannot demonstrate to regulators that all investors received required disclosures on time,Medium - regulatory risk around disclosure obligations,Medium,Low,Investor Services,2026-09-01,Not Started,Investor reporting automation
GAP-008,Fee Calculations,Management fees and performance fees calculated in Excel with manual input of AUM and benchmark data,Automated fee calculation engine with configurable fee structures and automated AUM data feeds,Fee calculations rely on manual data entry increasing risk of billing errors,High - financial risk from over or under billing; reputational risk with investors,Critical,Medium,Fund Accounting,2026-07-01,Not Started,AUM data feed; fee schedule configuration
GAP-009,Fee Calculations,No automated reconciliation between internally calculated fees and administrator-calculated fees,Automated fee reconciliation with break detection and approval workflow,Fee discrepancies between internal and administrator calculations identified only at quarter-end,Medium - delayed detection of fee errors affecting NAV accuracy,High,Medium,Fund Accounting,2026-07-01,Not Started,Fee calculation automation (GAP-008)
GAP-010,Regulatory Reporting,CBI online returns and AIFMD Annex IV data compiled manually from multiple spreadsheets,Automated data aggregation from source systems with pre-populated regulatory templates,Manual data compilation takes 3-5 days per filing and requires significant review effort,Medium - risk of filing errors and missed deadlines,High,Medium,Regulatory Reporting,2026-08-01,Not Started,Central data warehouse; regulatory template library
GAP-011,Regulatory Reporting,No automated tracking of regulatory filing deadlines and status,Centralised regulatory calendar with automated reminders and escalation for approaching deadlines,Risk of missed filing deadlines particularly during staff absence or high-volume periods,High - regulatory censure and potential fines for late filings,High,Low,Regulatory Reporting,2026-04-01,In Progress,None
GAP-012,Board Reporting,Board packs assembled manually over 2 weeks from various departmental inputs in different formats,Automated board pack generation with standardised templates pulling from central data sources,Board pack preparation is labour-intensive and data may be inconsistent across sections,Medium - board members receive information late and in inconsistent formats,Medium,High,Company Secretary,2026-10-01,Not Started,Central data warehouse; department data feeds
GAP-013,Board Reporting,No dashboard for board members to view fund performance and risk metrics between meetings,Secure board portal with real-time dashboards showing key performance and risk indicators,Board members have limited visibility between quarterly meetings; reliant on ad-hoc email updates,Low - reduced board oversight effectiveness between meetings,Low,Medium,Company Secretary,2027-01-01,Not Started,Board reporting automation (GAP-012)
GAP-014,NAV Reconciliation,Reconciliation results stored in individual analyst spreadsheets on shared drive with no version control,Centralised database with full audit trail and 7-year retention compliant with regulatory requirements,No single source of truth for historical reconciliation data; difficult to produce for audit,High - audit findings on record-keeping; inability to demonstrate control effectiveness over time,High,Medium,Fund Operations / IT,2026-05-01,Not Started,NAV automation platform build
GAP-015,Compliance Monitoring,SFDR periodic disclosures prepared manually with data sourced from multiple ESG data providers,Automated ESG data aggregation and SFDR template population with data quality checks,ESG data from multiple providers not integrated; manual consolidation increases error risk,Medium - regulatory risk from inaccurate sustainability disclosures,Medium,High,ESG Team / Compliance,2026-12-01,Not Started,ESG data provider API integration
